,BSID,LONG,LAT,X_COORD,Y_COORD,ROUTES,STOPNAME,DIR,DISTANCE,POSTAL,PID,LOCATION
2456,25709.0,-104.90168,39.536383,3168748.09059,1620811.71075,403,Lincoln Ave & Lone Tree Pkwy {1401},E,75.0,80124,0,F
2457,25710.0,-104.892376,39.536308,3171372.30225,1620801.80973,403,Lincoln Ave & Stoneglen Trail {1401},E,75.0,80124,0,F
2458,25711.0,-104.886096,39.536233,3173143.65086,1620786.39985,403,Lincoln Ave & Ridgegate Pkwy {1401},E,75.0,80124,0,F
2459,25712.0,-104.872132,39.536127,3177082.22055,1620774.70754,483,Lincoln Ave & Park Meadows Dr {1401},E,75.0,80124,0,F
2460,25714.0,-104.873195,39.535231,3176784.67138,1620446.28237,403,Park Meadows Dr & Lincoln Ave Farside {1401},S,75.0,80124,0,F
2461,25715.0,-104.8860739,39.53645841,3173149.32774,1620868.54588,403,Lincoln Ave & S Yosemite St {1401},W,75.0,80124,0,F
2462,25716.0,-104.893535,39.536543,3171044.85509,1620885.22093,403,Lincoln Ave & Fairview Dr {1401},W,75.0,80124,0,F
2463,25717.0,-104.901721,39.536565,3168736.09068,1620877.92558,403,Lincoln Ave & Lone Tree Pkwy {1401},W,75.0,80124,0,N
2464,25718.0,-104.908944,39.538675,3166693.97482,1621633.12975,403,Lincoln Ave & S Laredo St {1401},W,75.0,80130,0,F
2465,25720.0,-105.008263,39.551047,3138659.2062,1625972.57402,403,Lucent Blvd & Town Center Dr,S,50.0,80129,0,F
2466,25722.0,-105.007957,39.551538,3138744.52208,1626151.88326,403,Lucent Blvd & Town Center Dr,N,50.0,80129,0,F
2467,25725.0,-104.871217,39.541779,3177326.03156,1622835.15229,"483, 403",10300 Block Park Meadows Dr {1401},SE,75.0,80124,0,M
2468,25726.0,-104.872728,39.540213,3176903.85267,1622261.81301,"483, 403",10400 Block Park Meadows Dr {1401},S,75.0,80124,0,M
2469,25727.0,-104.87347574,39.5377324,3176699.21044,1621356.83374,"483, 403",Park Meadows Dr & Lincoln Ave Nearside {1401},S,250.0,80124,-1,N
2470,25728.0,-104.872843,39.534893,3176884.79812,1620323.85603,403,Park Meadows Dr & Lincoln Ave Nearside {1401},N,75.0,80124,0,N
2471,25729.0,-104.872038,39.540197,3177098.48432,1622257.32961,"483, 403",10400 Block Park Meadows Dr {1401},N,75.0,80124,0,M
2472,25730.0,-104.870826,39.542253,3177435.10181,1623008.56359,"483, 403",10300 Block Park Meadows Dr {1401},NW,75.0,80124,0,M
2473,25735.0,-104.810528,39.623529,3194214.91434,1652735.85926,153,S Chambers Rd & Belleview Ave,S,75.0,80015,0,F
2474,25736.0,-104.810549,39.620206,3194218.18505,1651525.4332,153,S Chambers Rd & Crestline Ave,S,75.0,80015,0,F
2475,25737.0,-104.81369756,39.61579382,3193343.39529,1649911.61196,153,Chambers Rd & S Chambers Rd,S,40.0,80015,0,N
